状态,链接,活动id,upid,抽奖时间戳,抽奖时间,一等奖,二等奖,三等奖
1,http://www.bilibili.com/opus/1032176079724347408,1032176079724347408,436175352,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1033781564256813073,1033781564256813073,1340190821,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1033661687456071717,1033661687456071717,1340190821,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1032969716696612868,1032969716696612868,3546559803296227,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1033267280618717191,1033267280618717191,3546571492821905,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1033657826241675286,1033657826241675286,1636034895,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1028822560661307429,1028822560661307429,25150941,1740067200,2025-2-21 00:00:00,无,无,无
1,http://www.bilibili.com/opus/1033657809088020503,1033657809088020503,401742377,1740067200,2025-2-21 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1033387329213956103,1033387329213956103,463440,1740153600,2025-2-22 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035274078289657874,1035274078289657874,3461569216252442,1740240000,2025-2-23 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035202408163049473,1035202408163049473,571307144,1740412800,2025-2-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1027478815749701657,1027478815749701657,37663924,1740412800,2025-2-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035224089181028355,1035224089181028355,690588074,1740412800,2025-2-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035513174804135936,1035513174804135936,543816944,1740499200,2025-2-26 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035907564486787079,1035907564486787079,1929903779,1740585600,2025-2-27 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035861073632165906,1035861073632165906,1312702972,1740585600,2025-2-27 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035884266446127111,1035884266446127111,2038413965,1740585600,2025-2-27 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035884337300504626,1035884337300504626,1636034895,1740585600,2025-2-27 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1026981978227867656,1026981978227867656,1863894913,1740585600,2025-2-27 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035230699119968291,1035230699119968291,1930420310,1740672000,2025-2-28 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035506337240317953,1035506337240317953,2026733267,1740672000,2025-2-28 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035502884065640471,1035502884065640471,628831867,1740672000,2025-2-28 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1028464927329746961,1028464927329746961,4162287,1740672000,2025-2-28 00:00:00,无,无,无
0,https://t.bilibili.com/1005438911892160516,1005438911892160516,17202395,1740711300,2025-02-28 10:55:00,一等奖,无,
0,http://www.bilibili.com/opus/1030359295697354758,1030359295697354758,406937345,1740758400,2025-3-1 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035891997402988548,1035891997402988548,433865481,1740844800,2025-3-2 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1029359401522167810,1029359401522167810,20653637,1740844800,2025-3-2 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035608913945296899,1035608913945296899,333641046,1740931200,2025-3-3 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035935782450233349,1035935782450233349,436170053,1740931200,2025-3-3 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035592837871173638,1035592837871173638,383666009,1741104000,2025-3-5 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035234882413920258,1035234882413920258,396808737,1741104000,2025-3-5 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035856355610591241,1035856355610591241,394373125,1741104000,2025-3-5 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035982490187071489,1035982490187071489,436170053,1741104000,2025-3-5 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035601908869365760,1035601908869365760,383666009,1741104000,2025-3-5 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035932608455770118,1035932608455770118,543816944,1741190400,2025-3-6 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035926771603603460,1035926771603603460,628831867,1741190400,2025-3-6 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035233435020427272,1035233435020427272,1752630832,1741276800,2025-3-7 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1031160661430763559,1031160661430763559,323938301,1741276800,2025-3-7 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035884266475487235,1035884266475487235,1425239276,1741449600,2025-3-9 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035590110548066305,1035590110548066305,430040367,1741536000,2025-3-10 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035513582837563392,1035513582837563392,3461571554577304,1741708800,2025-3-12 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035283829996126227,1035283829996126227,232472043,1742227200,2025-3-18 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035285118493655062,1035285118493655062,1111924041,1742313600,2025-3-19 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035467018972692486,1035467018972692486,1930420310,1742400000,2025-3-20 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1030352586928029720,1030352586928029720,17247313,1742400000,2025-3-20 00:00:00,无,无,无
0,https://t.bilibili.com/1012890594223063081,1012890594223063081,174501086,1742446140,2025-03-20 12:49:00,黑江雫 cosplay by Marin,无,
0,https://t.bilibili.com/1013270561396097042,1013270561396097042,174501086,1742534700,2025-03-21 13:25:00,明日方舟澄闪喜夜侍者比例手办,无,
0,https://t.bilibili.com/1013284056179146770,1013284056179146770,1871001,1742537880,2025-03-21 14:18:00,648元,无,
0,http://www.bilibili.com/opus/1035210645917663248,1035210645917663248,110487933,1742572800,2025-3-22 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1030768150804693011,1030768150804693011,696592828,1743091200,2025-3-28 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035564680051949573,1035564680051949573,436170053,1743264000,2025-3-30 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1025493883683864595,1025493883683864595,3493138475780593,1743350400,2025-3-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1035515953651122212,1035515953651122212,2139961917,1743868800,2025-4-6 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1030325846463741971,1030325846463741971,40992449,1744214400,2025-4-10 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1026279519114231809,1026279519114231809,1488429768,1745510400,2025-4-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/994392238825930761,994392238825930761,436170053,1762444800,2025-11-7 00:00:00,无,无,无
0,http://www.bilibili.com/opus/994359171889496070,994359171889496070,3546664837057135,1762876800,2025-11-12 00:00:00,无,无,无
0,http://www.bilibili.com/opus/994786583383113733,994786583383113733,96646652,1763136000,2025-11-15 00:00:00,无,无,无
0,http://www.bilibili.com/opus/993704331056250883,993704331056250883,386055742,1763136000,2025-11-15 00:00:00,无,无,无
0,http://www.bilibili.com/opus/996237120554139651,996237120554139651,1132006212,1764000000,2025-11-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/981176276532330516,981176276532330516,700764023,1764172800,2025-11-27 00:00:00,无,无,无
0,http://www.bilibili.com/opus/994379010302541846,994379010302541846,526479088,1764259200,2025-11-28 00:00:00,无,无,无
0,http://www.bilibili.com/opus/993622683738439683,993622683738439683,327711134,1764432000,2025-11-30 00:00:00,无,无,无
0,http://www.bilibili.com/opus/991838429770678296,991838429770678296,1738056102,1764432000,2025-11-30 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1008808919283269649,1008808919283269649,394373125,1766505600,2025-12-24 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1010364429778288688,1010364429778288688,618447026,1766592000,2025-12-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/998552838028132400,998552838028132400,1980678022,1766592000,2025-12-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/997426349717061688,997426349717061688,533337148,1766592000,2025-12-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1008890742727245844,1008890742727245844,3546740875594396,1766592000,2025-12-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1008100550355451944,1008100550355451944,1630529821,1766592000,2025-12-25 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1011763079433682961,1011763079433682961,383666009,1767110400,2025-12-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/1014013096823357492,1014013096823357492,1435278966,1767110400,2025-12-31 00:00:00,无,无,无
状态,链接,活动id,upid,抽奖时间戳,抽奖时间,一等奖,二等奖,三等奖
